row id;Exact mass;m/z;rt;Metaboscape annotation;Putative annotation;Metaboanalyst name (#_mz_rt);VIP_class;VIP_zone_demospongiae;VIP_zone_Hexactinellida;CSI:FingerIDScore;molecularFormulaSIRIUS;nameSIRIUS;linksSIRIUS
2573;226.11511;227.12239;1362.62;4-(Ethylaminomethyl)-2-methyl-5-[(methylthio)methyl]pyridin-3-ol;;2573_227.12239_1362.62;;0.44449;1.7761;;;;
1672;194.06661;195.07389;70.02;4-Amino-6,8-difluoro-2-methylquinoline;;1672_195.07389_70.02;;;;;;;
411;202.09048;203.09776;101.64;4-Fluoro-N-(3-pyridinylmethyl)aniline;;411_203.09776_101.64;;;;;;;
1709;145.08481;146.09209;72.3;4-Guanidinobutyric acid;;1709_146.09209_72.3;;;;;;;
2088;164.08256;165.08984;994.96;4-Hydroxy-1-phenylbutan-1-one;;2088_165.08984_994.96;;;;;;;
1704;223.09763;224.10491;71.2;4-Methyl-2-(4-morpholinyl)-5-pyrimidinecarboxylic acid;;1704_224.10491_71.2;;;;;;;
2349;245.12639;246.13367;1262.12;4-Methyl-N-(2-propyl-2H-tetraazol-5-yl)benzamide;;2349_246.13367_1262.12;;0.013961;0.20699;;;;
2388;245.12613;246.13341;1286.25;4-Methyl-N-(2-propyl-2H-tetraazol-5-yl)benzamide;;2388_246.13341_1286.25;;0.94621;0.08406;;;;
2430;245.12654;246.13381;1305.64;4-Methyl-N-(2-propyl-2H-tetraazol-5-yl)benzamide;;2430_246.13381_1305.64;;0.42674;0.13714;;;;
2473;245.12671;246.13399;1323.22;4-Methyl-N-(2-propyl-2H-tetraazol-5-yl)benzamide;;2473_246.13399_1323.22;;2.4462;0.56617;;;;
2516;245.12701;246.13428;1339.03;4-Methyl-N-(2-propyl-2H-tetraazol-5-yl)benzamide;;2516_246.13428_1339.03;;0.35972;1.3774;;;;
2582;245.12715;246.13443;1366.04;4-Methyl-N-(2-propyl-2H-tetraazol-5-yl)benzamide;;2582_246.13443_1366.04;;0.83729;0.81276;;;;
2620;245.12682;246.1341;1377.47;4-Methyl-N-(2-propyl-2H-tetraazol-5-yl)benzamide;;2620_246.1341_1377.47;;0.85993;0.8783;;;;
387;209.07383;210.0811;70.7;4-Morpholinopropanesulfonic acid;;387_210.0811_70.7;;;;;;;
475;271.17689;272.18417;344.25;4-Oxo-4-((3-oxodecan-2-yl)amino)butanoic acid;;475_272.18417_344.25;;;;;;;
2380;271.18073;272.18801;1282.53;4-Oxo-4-((3-oxodecan-2-yl)amino)butanoic acid;;2380_272.18801_1282.53;;0.40624;1.9301;;;;
2461;271.18102;272.18829;1318.37;4-Oxo-4-((3-oxodecan-2-yl)amino)butanoic acid;;2461_272.18829_1318.37;;0.95123;1.6599;;;;
